source_id,num_bugs,num_mutation_types,categories,mutation_types
tests/5.1/default/test_default_firstprivate_taskloop.c,2,2,default,"CHANGE_CLAUSE, REMOVE_CLAUSE"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_private.c,2,2,target_teams_distribute_parallel_for,"CHANGE_ASSIGNMENT, CHANGE_CONFIGURATION"
tests/4.5/target_teams_distribute/test_target_teams_distribute_is_device_ptr.c,2,1,target_teams_distribute,CHANGE_ASSIGNMENT
tests/5.1/loop/test_loop_unroll.c,2,2,loop,"CHANGE_ASSIGNMENT, CHANGE_LOOP_BOUND"
tests/5.1/error/test_error_severity_warning.c,2,2,error,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.1/requires/test_target_is_accessible_with_usm.c,2,2,requires,"CHANGE_OPERATOR, REMOVE_CONSTRUCT"
tests/4.5/target_teams_distribute/test_target_teams_distribute_default_none.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/4.5/target_teams_distribute/test_target_teams_distribute_if.c,2,2,target_teams_distribute,"CHANGE_CONDITION, CHANGE_CONSTANT"
tests/4.5/target_teams_distribute/test_target_teams_distribute_dist_schedule.c,2,2,target_teams_distribute,"CHANGE_CONFIGURATION, REMOVE_STATEMENT"
tests/4.5/target_teams_distribute/test_target_teams_distribute_default_shared.c,2,2,target_teams_distribute,"CHANGE_CONSTANT, REMOVE_SYNCHRONIZATION"
tests/5.1/order/test_parallel_for_order_reproducible.c,2,2,order,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_subtract.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/5.1/masked/test_masked.c,2,2,masked,"REMOVE_CONSTRUCT, REMOVE_SYNCHRONIZATION"
tests/5.1/loop/test_partial_loop_unroll.c,2,2,loop,"CHANGE_ASSIGNMENT, CHANGE_LOOP_BOUND"
tests/4.5/target_teams_distribute/test_target_teams_distribute_shared.c,2,2,target_teams_distribute,"CHANGE_OPERATOR, REMOVE_SYNCHRONIZATION"
tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_add.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/4.5/target_teams_distribute/test_target_teams_distribute_private.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, CHANGE_CONFIGURATION"
tests/4.5/target_teams_distribute/test_target_teams_distribute_nowait.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, REMOVE_SYNCHRONIZATION"
tests/5.1/order/test_taskloop_simd_order_unconstrained_device.c,2,2,order,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/4.5/target_teams_distribute/test_target_teams_distribute_collapse.c,2,2,target_teams_distribute,"CHANGE_OPERATOR, CHANGE_VARIABLE"
tests/4.5/target_enter_data/test_target_enter_data_depend.c,2,2,target_enter_data,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/6.0/fuse/test_fuse_apply_looprange.c,2,2,fuse,"CHANGE_ASSIGNMENT, CHANGE_LOOP_BOUND"
tests/5.1/target/test_target_has_device_addr.c,2,1,target,REMOVE_CONSTRUCT
tests/5.1/target/test_target_defaultmap_present_aggregate.c,2,2,target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/taskloop/test_taskloop_lastprivate.c,2,1,taskloop,CHANGE_CLAUSE
tests/5.0/declare_target/test_declare_target_device_type_host.c,2,2,declare_target,"CHANGE_MAPPING, CHANGE_OPERATOR"
tests/5.1/assume/test_assume_absent.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.0/declare_target/test_declare_target_nested_functions.c,2,2,declare_target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/5.0/declare_target/test_declare_target_nested.c,2,2,declare_target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/5.1/assume/test_assume_no_parallelism.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.0/teams_loop/test_target_teams_loop_device.c,2,2,teams_loop,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/5.0/teams_loop/test_target_teams_loop_firstprivate.c,2,2,teams_loop,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/5.0/declare_target/test_declare_target_device_type_any.c,2,2,declare_target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/taskloop/test_taskloop_shared.c,2,2,taskloop,"CHANGE_CLAUSE, REMOVE_SYNCHRONIZATION"
tests/5.0/loop/test_loop_collapse_device.c,2,2,loop,"CHANGE_OPERATOR, CHANGE_VARIABLE"
tests/5.0/loop/test_loop_private_device.c,2,2,loop,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT"
tests/4.5/taskloop/test_taskloop_if.c,2,2,taskloop,"CHANGE_CONDITION, CHANGE_OPERATOR"
tests/5.0/loop/test_loop_reduction_add_device.c,2,2,loop,"CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.1/assume/test_assume_contains.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.1/assume/test_assume_holds.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.1/assume/test_assume_no_openmp.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.1/assume/test_assume_no_openmp_routines.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.1/atomic/test_atomic_fail_acquire.c,2,1,atomic,CHANGE_OPERATOR
tests/5.1/assume/test_begin_end_assumes_contains.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.1/assume/test_assumes_contains.c,2,2,assume,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/4.5/target_update/test_target_update_depend.c,2,2,target_update,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/5.1/default/test_default_firstprivate_parallel.c,2,2,default,"CHANGE_CLAUSE, REMOVE_CLAUSE"
tests/5.1/atomic/test_atomic_fail_seq_cst.c,2,1,atomic,CHANGE_OPERATOR
tests/5.1/atomic/test_atomic_fail_relaxed.c,2,1,atomic,CHANGE_OPERATOR
tests/4.5/target_update/test_target_update_devices.c,2,2,target_update,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/5.0/parallel_master/test_parallel_master_device.c,2,2,parallel_master,"CHANGE_ASSIGNMENT, CHANGE_CLAUSE"
